Hour,Electricity_Price_$/MWh,Carbon_Intensity_kg_CO2/MWh,Curtailment_Available,Battery_Charge_MW,Battery_Discharge_MW,Battery_SOC_MWh,Load_Jobs_As_Is_MW,Load_Curtailment_Only_MW,Load_Carbon_Aware_MW,Load_Jobs_As_Is_With_Battery_MW,Load_Curtailment_Only_With_Battery_MW,Load_Carbon_Aware_With_Battery_MW
65,49.732205905104394,291.62913280644733,0.0,0.0,20.0,60.0,20.0,15.199984640000002,19.999988804310277,0.0,-0.800015359999998,9.999988804310277
66,34.42391902735733,414.3183226797598,0.0,0.0,20.0,40.0,20.0,14.239996928000002,14.399996641293082,0.0,-1.7600030719999982,4.399996641293082
67,39.145977506598385,407.84042743491847,0.0,0.0,20.0,20.0,20.0,14.0479993856,12.719998992387923,0.0,-1.9520006143999993,2.7199989923879233
68,30.393088200381076,364.2457224002718,0.0,0.0,20.0,0.0,20.0,14.009599877120001,12.215999697716375,0.0,-1.9904001228799988,2.2159996977163754
69,19.2324402453608,461.6596466210649,0.0,0.0,0.0,0.0,20.0,14.001919975424002,12.06479990931491,20.0,14.001919975424002,12.06479990931491
70,24.900783787300735,460.0502166246141,0.0,0.0,0.0,0.0,20.0,14.000383995084801,12.019439972794471,20.0,14.000383995084801,12.019439972794471
71,32.81540513739173,500.0,0.0,0.0,0.0,0.0,20.0,14.000076799016961,12.00583199183834,20.0,14.000076799016961,12.00583199183834
72,19.71339168712039,476.22437784701896,0.0,0.0,0.0,0.0,20.0,14.000015359803394,12.0017495975515,20.0,14.000015359803394,12.0017495975515
73,33.02826185217602,491.44678069935327,0.0,0.0,0.0,0.0,20.0,14.00000307196068,12.000524879265448,20.0,14.00000307196068,12.000524879265448
74,5.0,495.0534289370795,0.0,0.0,0.0,0.0,20.0,14.000000614392137,12.000157463779633,20.0,14.000000614392137,12.000157463779633
75,30.96861831720358,482.03867300308576,0.0,0.0,0.0,0.0,20.0,14.00000012287843,12.000047239133888,20.0,14.00000012287843,12.000047239133888
76,28.19637654590537,388.9911077883267,0.0,0.0,0.0,0.0,20.0,14.000000024575687,12.000014171740165,20.0,14.000000024575687,12.000014171740165
77,28.725655519735245,378.78781969014966,0.0,0.0,0.0,0.0,20.0,14.000000004915139,12.000004251522048,20.0,14.000000004915139,12.000004251522048
78,35.73408621228402,335.7516406651713,0.0,0.0,0.0,0.0,20.0,14.000000000983029,17.600001275456613,20.0,14.000000000983029,17.600001275456613
79,22.98173435973067,291.57726625741054,0.0,0.0,0.0,0.0,20.0,14.000000000196607,19.280000382636985,20.0,14.000000000196607,19.280000382636985
80,40.742624897299905,327.9636272084329,0.0,0.0,0.0,0.0,20.0,14.000000000039323,19.784000114791095,20.0,14.000000000039323,19.784000114791095
81,48.46350228989218,256.08343415084653,0.0,0.0,0.0,0.0,20.0,14.000000000007866,19.93520003443733,20.0,14.000000000007866,19.93520003443733
82,59.81353341469871,182.26967080228286,0.0,0.0,0.0,0.0,20.0,14.000000000001574,19.9805600103312,20.0,14.000000000001574,19.9805600103312
83,45.342725648146846,232.64698446828305,1.0,20.0,0.0,18.0,20.0,18.800000000000317,19.99416800309936,40.0,34.80000000000032,29.99416800309936
